year,FuelType,Price per Gallon
2000,Petrol,1.52215
2001,Petrol,1.60765
2002,Petrol,1.44595
2003,Petrol,1.6022
2004,Petrol,1.9677
2005,Petrol,2.3557
2006,Petrol,2.6352
2007,Petrol,3.105
2008,Petrol,3.29655
2009,Petrol,2.3534
2010,Petrol,2.9667
2011,Petrol,3.59405
2012,Petrol,3.86775
2013,Petrol,3.7616
2014,Petrol,3.4557
2015,Petrol,2.52085
2016,Petrol,2.3578
2017,Petrol,2.54605
2018,Petrol,3.09545
2019,Petrol,2.81225
2020,Petrol,2.14915
2000,Diesel,1.48425
2001,Diesel,1.5488
2002,Diesel,1.3739
2003,Diesel,1.51385
2004,Diesel,1.87375
2005,Diesel,2.42465
2006,Diesel,2.71675
2007,Diesel,3.16485
2008,Diesel,3.8023
2009,Diesel,2.433
2010,Diesel,3.11965
2011,Diesel,3.83825
2012,Diesel,4.16395
2013,Diesel,4.1274
2014,Diesel,3.8483
2015,Diesel,2.7555
2016,Diesel,2.41095
2017,Diesel,2.6535
2018,Diesel,3.4913
2019,Diesel,3.20355
2020,Diesel,2.426
